Time,Event
0,Mise en place du patient
30,Monitorage FC
60,Monitorage PAM
90,Monitorage SPO2
120,Monitorage BIS
360,pose VVP (cathlon)
420,Bair hugger
480,pré-oxygénation
510,SUFENTANIL_induction
540,PROPOFOL_induction
570,Occlusion oculaire
630,intubation
660,SEVOFLURANE_continu
690,Ventilation contrôlé intubée
720,Oxygène 30%
750,Auscultation pulmonaire
780,Surveillance pression ballonnet
900,Manoeuvre Recrutement Alvéolaire
930,Pose sonde T°C
960,Auscultation pulmonaire
990,Surveillance points d'appui
1020,SEVOFLURANE_continu
1050,Incision
1170,Ouverture peaucier/muscle
1200,Ouverture peaucier/muscle
1230,Mise en place lac tissu rétro-isthmique
1350,Dissection pôle supérieur (thyroïde)
1450,Répérage nerf récurrent 
1950,Dissection glande thyroïde
2450,Examen extemporané
2480,Vérification hémostase
2780,Fermeture
3210,SUFENTANIL_bolus
3380,Pansement
3410,stop sevoflurane
3950,Sortie du patient
