Time,Event
0,Mise en place du patient
30,Monitorage FC
60,Monitorage PAM
90,Monitorage SPO2
120,Monitorage BIS
360,pose VVP (cathlon)
420,Bair hugger
450,CEFAZOLINE_bolus
510,pré-oxygénation
540,SUFENTANIL_induction
570,THIOPENTAL_induction
600,ATRACURIUM_induction
630,Occlusion oculaire
690,intubation
720,Hypotension sévère
750,Oxygène 100%
780,Remplissage par cristalloïdes
930,ADRENALINE_bolus
1230,Fin anphylaxie
1260,SEVOFLURANE_continu
1290,Ventilation contrôlé intubée
1320,Oxygène 30%
1350,Auscultation pulmonaire
1380,Surveillance pression ballonnet
1500,Manoeuvre Recrutement Alvéolaire
1530,Pose sonde T°C
1560,Auscultation pulmonaire
1590,Surveillance points d'appui
1620,SEVOFLURANE_continu
1650,Incision
1680,THIOPENTAL_bolus
1800,Trocard sous-ombilical
1830,Inflation pneumopéritoine
1860,Auscultation pulmonaire
1980,Manoeuvre Recrutement Alvéolaire
2080,Dissection espace prépéritonéal
2580,Dissection cordon spermatique
2610,THIOPENTAL_bolus
3110,Dissection cordon zone herniaire
3420,SUFENTANIL_bolus
3510,THIOPENTAL_bolus
4110,Mise en place prothèse
4140,Déflation pneumopéritoine
4410,THIOPENTAL_bolus
4440,Fermeture
5040,Pansement
5070,stop sevoflurane
5100,Contrôle de décurarisation
5130,Décurarusation
5340,THIOPENTAL_bolus
5670,Sortie du patient
