Time,Event
0,Mise en place du patient
30,Monitorage FC
60,Monitorage PAM
90,Monitorage SPO2
120,Monitorage BIS
360,pose VVP (cathlon)
420,Bair hugger
450,CEFAZOLINE_bolus
510,pré-oxygénation
540,SUFENTANIL_induction
570,PROPOFOL_induction
600,ATRACURIUM_induction
630,Occlusion oculaire
690,intubation
720,Hypotension sévère
750,Oxygène 100%
780,Remplissage par cristalloïdes
930,ADRENALINE_bolus
1230,Fin anphylaxie
1260,SEVOFLURANE_continu
1290,Ventilation contrôlé intubée
1320,Oxygène 30%
1350,Auscultation pulmonaire
1380,Surveillance pression ballonnet
1500,Manoeuvre Recrutement Alvéolaire
1530,Pose sonde T°C
1560,Auscultation pulmonaire
1590,Surveillance points d'appui
1620,SEVOFLURANE_continu
1650,Incision
1770,Trocard sous-ombilical
1800,Inflation pneumopéritoine
1830,Auscultation pulmonaire
1950,Manoeuvre Recrutement Alvéolaire
2050,Dissection espace prépéritonéal
2550,Dissection cordon spermatique
3050,Dissection cordon zone herniaire
3240,SUFENTANIL_bolus
4050,Mise en place prothèse
4080,Déflation pneumopéritoine
4380,Fermeture
4980,Pansement
5010,stop sevoflurane
5040,Contrôle de décurarisation
5070,Décurarusation
5640,Sortie du patient
