Time,Event
0,Mise en place du patient
30,Monitorage FC
60,Monitorage PAM
90,Monitorage SPO2
120,Monitorage BIS
360,pose VVP (cathlon)
420,Bair hugger
450,CEFAZOLINE_bolus
510,pré-oxygénation
540,SUFENTANIL_induction
570,PROPOFOL_induction
600,ATRACURIUM_induction
630,Occlusion oculaire
690,intubation
720,SEVOFLURANE_continu
750,Ventilation contrôlé intubée
780,Oxygène 30%
810,Auscultation pulmonaire
840,Surveillance pression ballonnet
960,Manoeuvre Recrutement Alvéolaire
990,Pose sonde T°C
1020,Auscultation pulmonaire
1050,Surveillance points d'appui
1080,SEVOFLURANE_continu
1110,Incision
1230,Trocard sous-ombilical
1260,Inflation pneumopéritoine
1290,Auscultation pulmonaire
1410,Manoeuvre Recrutement Alvéolaire
2410,Dissection espace prépéritonéal
2910,Dissection cordon spermatique
3120,ATRACURIUM_bolus
3150,SUFENTANIL_bolus
3440,Dissection cordon zone herniaire
4440,Mise en place prothèse
4470,Déflation pneumopéritoine
4770,Fermeture
5370,Pansement
5400,stop sevoflurane
5430,Contrôle de décurarisation
5460,Décurarusation
5640,SUFENTANIL_bolus
5910,Sortie du patient
